fee_id,payment_id,fee_amount,fee_type,fee_date
FEE_90047,PAY_10047,50.00,PROCESSING_FEE,2026-08-05 05:21:08
FEE_90048,PAY_10048,170.00,PROCESSING_FEE,2026-08-05 07:23:39
FEE_90049,PAY_10049,500.00,PROCESSING_FEE,2026-08-05 09:45:55
FEE_90050,PAY_10050,136.00,PROCESSING_FEE,2026-08-05 11:08:06
FEE_90051,PAY_10051,-136.00,PROCESSING_FEE,2026-08-05 13:05:22
FEE_90052,PAY_10052,10.00,PROCESSING_FEE,2026-08-05 15:33:36
FEE_90053,PAY_10053,20.00,PROCESSING_FEE,2026-08-05 17:09:57
FEE_90054,PAY_10054,50.00,PROCESSING_FEE,2026-08-05 19:42:36
FEE_90055,PAY_10055,90.00,PROCESSING_FEE,2026-08-05 21:24:24
FEE_90056,PAY_10056,300.00,PROCESSING_FEE,2026-08-05 23:20:43
FEE_90057,PAY_10057,60.00,PROCESSING_FEE,2026-08-06 01:15:00
FEE_90058,PAY_10058,300.00,PROCESSING_FEE,2026-08-06 03:06:12
FEE_90059,PAY_10059,250.00,PROCESSING_FEE,2026-08-06 05:15:51
FEE_90060,PAY_10060,200.00,PROCESSING_FEE,2026-08-06 07:35:15
FEE_90061,PAY_10061,90.00,PROCESSING_FEE,2026-08-06 09:19:15
FEE_90062,PAY_10062,200.00,PROCESSING_FEE,2026-08-06 11:26:18
FEE_90063,PAY_10063,170.00,PROCESSING_FEE,2026-08-06 13:37:26
FEE_90064,PAY_10064,136.00,PROCESSING_FEE,2026-08-06 15:12:57
FEE_90065,PAY_10065,170.00,PROCESSING_FEE,2026-08-06 17:43:28
FEE_90066,PAY_10066,250.00,PROCESSING_FEE,2026-08-06 19:32:39
FEE_90067,PAY_10067,300.00,PROCESSING_FEE,2026-08-06 21:17:17
FEE_90068,PAY_10068,90.00,PROCESSING_FEE,2026-08-06 23:05:34
FEE_90069,PAY_10069,170.00,PROCESSING_FEE,2026-08-07 01:32:05
FEE_90070,PAY_10070,150.00,PROCESSING_FEE,2026-08-07 03:12:47
FEE_90071,PAY_10071,150.00,PROCESSING_FEE,2026-08-07 05:31:21
FEE_90072,PAY_10072,-250.00,PROCESSING_FEE,2026-08-07 07:13:13
FEE_90073,PAY_10073,250.00,PROCESSING_FEE,2026-08-07 09:16:40
FEE_90074,PAY_10074,-300.00,PROCESSING_FEE,2026-08-07 11:05:20
FEE_90075,PAY_10075,400.00,PROCESSING_FEE,2026-08-07 13:43:42
FEE_90076,PAY_10076,60.00,PROCESSING_FEE,2026-08-07 15:18:33
FEE_90077,PAY_10077,170.00,PROCESSING_FEE,2026-08-07 17:10:19
FEE_90078,PAY_10078,90.00,PROCESSING_FEE,2026-08-07 19:20:44
FEE_90079,PAY_10079,30.00,PROCESSING_FEE,2026-08-07 21:07:16
FEE_90080,PAY_10080,250.00,PROCESSING_FEE,2026-08-07 23:45:37
FEE_90081,PAY_10081,10.00,PROCESSING_FEE,2026-08-08 01:36:26
FEE_90082,PAY_10082,1000.00,PROCESSING_FEE,2026-08-08 03:32:15
FEE_90083,PAY_10083,400.00,PROCESSING_FEE,2026-08-08 05:08:36
FEE_90084,PAY_10084,170.00,PROCESSING_FEE,2026-08-08 07:34:43
FEE_90085,PAY_10085,-300.00,PROCESSING_FEE,2026-08-08 09:33:40
FEE_90086,PAY_10086,500.00,PROCESSING_FEE,2026-08-08 11:33:58
FEE_90087,PAY_10087,136.00,PROCESSING_FEE,2026-08-08 13:21:49
FEE_90088,PAY_10088,400.00,PROCESSING_FEE,2026-08-08 15:36:41
FEE_90089,PAY_10089,136.00,PROCESSING_FEE,2026-08-08 17:09:46
FEE_90090,PAY_10090,50.00,PROCESSING_FEE,2026-08-08 19:25:58
FEE_90091,PAY_10091,90.00,PROCESSING_FEE,2026-08-08 21:29:45
FEE_90092,PAY_10092,300.00,PROCESSING_FEE,2026-08-08 23:31:22
FEE_90093,PAY_10093,10.00,PROCESSING_FEE,2026-08-09 01:18:54
FEE_90094,PAY_10094,150.00,PROCESSING_FEE,2026-08-09 03:29:31
FEE_90095,PAY_10095,100.00,PROCESSING_FEE,2026-08-09 05:31:35
FEE_90096,PAY_10096,10.00,PROCESSING_FEE,2026-08-09 07:19:18
FEE_90097,PAY_10097,-60.00,PROCESSING_FEE,2026-08-09 09:26:43
FEE_90098,PAY_10098,250.00,PROCESSING_FEE,2026-08-09 11:13:40
FEE_90099,PAY_10099,300.00,PROCESSING_FEE,2026-08-09 13:41:43
FEE_90100,PAY_10100,250.00,PROCESSING_FEE,2026-08-09 15:34:12
