payment_id,order_id,payment_amount,payment_date,payment_status,customer_reference
PAY_10088,ORD_50088,20000.00,2026-08-08 15:36:00,SUCCESS,CUST_8088
PAY_10089,ORD_50089,6800.00,2026-08-08 17:09:00,SUCCESS,CUST_8089
PAY_10090,ORD_50090,2500.00,2026-08-08 19:25:00,SUCCESS,CUST_8090
PAY_10091,ORD_50091,4500.00,2026-08-08 21:29:00,SUCCESS,CUST_8091
PAY_10092,ORD_50092,15000.00,2026-08-08 23:31:00,SUCCESS,CUST_8092
PAY_10093,ORD_50093,500.00,2026-08-09 01:18:00,SUCCESS,CUST_8093
PAY_10094,ORD_50094,7500.00,2026-08-09 03:29:00,SUCCESS,CUST_8094
PAY_10095,ORD_50095,5000.00,2026-08-09 05:31:00,SUCCESS,CUST_8095
PAY_10096,ORD_50096,500.00,2026-08-09 07:19:00,SUCCESS,CUST_8096
PAY_10097,ORD_50097,3000.00,2026-08-09 09:26:00,SUCCESS,CUST_8097
PAY_10098,ORD_50098,12500.00,2026-08-09 11:13:00,SUCCESS,CUST_8098
PAY_10099,ORD_50099,15000.00,2026-08-09 13:41:00,SUCCESS,CUST_8099
PAY_10100,ORD_50100,12500.00,2026-08-09 15:34:00,SUCCESS,CUST_8100
